latitude,longitude,var
83.625,-34.5,1.0
83.625,-34.375,1.0
83.625,-34.25,1.0
83.625,-34.125,1.0
83.625,-34.0,1.0
83.625,-33.875,1.0
83.625,-33.75,1.0
83.625,-33.625,1.0
83.625,-33.5,1.0
83.625,-33.375,1.0
83.625,-33.25,1.0
83.625,-33.125,1.0
83.625,-33.0,1.0
83.625,-32.875,1.0
83.625,-32.75,1.0
83.625,-32.625,1.0
83.625,-31.625,1.0
83.625,-31.5,1.0
83.625,-31.375,1.0
83.5,-35.0,1.0
83.5,-34.875,1.0
83.5,-34.75,1.0
83.5,-34.625,1.0
83.5,-34.5,1.0
83.5,-34.375,1.0
83.5,-34.25,1.0
83.5,-34.125,1.0
83.5,-34.0,1.0
83.5,-33.875,1.0
83.5,-33.75,1.0
83.5,-33.625,1.0
83.5,-33.5,1.0
83.5,-33.375,1.0
83.5,-33.25,1.0
83.5,-33.125,1.0
83.5,-33.0,1.0
83.5,-32.875,1.0
83.5,-32.75,1.0
83.5,-32.625,1.0
83.5,-32.5,1.0
83.5,-32.375,1.0
83.5,-32.25,1.0
83.5,-32.125,1.0
83.5,-32.0,1.0
83.5,-31.875,1.0
83.5,-31.75,1.0
83.5,-31.625,1.0
83.5,-31.5,1.0
83.5,-31.375,1.0
83.5,-31.25,1.0
83.5,-31.125,1.0
83.5,-31.0,1.0
83.5,-30.875,1.0
83.5,-30.75,1.0
83.5,-30.625,1.0
83.5,-30.5,1.0
83.5,-30.375,1.0
83.5,-30.25,1.0
83.5,-30.125,1.0
83.5,-30.0,1.0
83.5,-29.875,1.0
83.5,-29.75,1.0
83.5,-27.75,1.0
83.5,-27.625,1.0
83.5,-27.5,1.0
83.5,-27.375,1.0
83.375,-35.0,1.0
83.375,-34.875,1.0
83.375,-34.75,1.0
83.375,-34.625,1.0
83.375,-34.5,1.0
83.375,-34.375,1.0
83.375,-34.25,1.0
83.375,-34.125,1.0
83.375,-34.0,1.0
83.375,-33.875,1.0
83.375,-33.75,1.0
83.375,-33.625,1.0
83.375,-33.5,1.0
83.375,-33.375,1.0
83.375,-33.25,1.0
83.375,-33.125,1.0
83.375,-33.0,1.0
83.375,-32.875,1.0
83.375,-32.75,1.0
83.375,-32.625,1.0
83.375,-32.5,1.0
83.375,-32.375,1.0
83.375,-32.25,1.0
83.375,-32.125,1.0
83.375,-32.0,1.0
83.375,-31.875,1.0
83.375,-31.75,1.0
83.375,-31.625,1.0
83.375,-31.5,1.0
83.375,-31.375,1.0
83.375,-31.25,1.0
83.375,-31.125,1.0
83.375,-31.0,1.0
83.375,-30.875,1.0
83.375,-30.75,1.0
83.375,-30.625,1.0
83.375,-30.5,1.0
83.375,-30.375,1.0
83.375,-30.25,1.0
83.375,-30.125,1.0
83.375,-30.0,1.0
83.375,-29.875,1.0
83.375,-29.75,1.0
83.375,-29.625,1.0
83.375,-29.5,1.0
83.375,-29.375,1.0
83.375,-29.25,1.0
83.375,-29.125,1.0
83.375,-29.0,1.0
83.375,-28.875,1.0
83.375,-28.75,1.0
83.375,-28.625,1.0
83.375,-28.5,1.0
83.375,-28.375,1.0
83.375,-28.25,1.0
83.375,-28.125,1.0
83.375,-28.0,1.0
83.375,-27.875,1.0
83.375,-27.75,1.0
83.375,-27.625,1.0
83.375,-27.5,1.0
83.375,-27.375,1.0
83.375,-27.25,1.0
83.375,-27.125,1.0
83.25,-35.0,1.0
83.25,-34.875,1.0
83.25,-34.75,1.0
83.25,-34.625,1.0
83.25,-34.5,1.0
83.25,-34.375,1.0
83.25,-34.25,1.0
83.25,-34.125,1.0
83.25,-34.0,1.0
83.25,-33.875,1.0
83.25,-33.75,1.0
83.25,-33.625,1.0
83.25,-33.5,1.0
83.25,-33.375,1.0
83.25,-33.25,1.0
83.25,-33.125,1.0
83.25,-33.0,1.0
83.25,-32.875,1.0
83.25,-32.75,1.0
83.25,-32.625,1.0
83.25,-32.5,1.0
83.25,-32.375,1.0
83.25,-32.25,1.0
83.25,-32.125,1.0
83.25,-32.0,1.0
83.25,-31.875,1.0
83.25,-31.75,1.0
83.25,-31.625,1.0
83.25,-31.5,1.0
83.25,-31.375,1.0
